# y, y+, tke, epsilon, grad_u_11, grad_u_12, grad_u_13, grad_u_21, grad_u_22, grad_u_23, grad_u_31, grad_u_32, grad_u_33, uu_11, uu_12, uu_13, uu_21, uu_22, uu_23, uu_31, uu_32, uu_33, u_1, u_2, u_3
0.000000000000000000e+00 0.000000000000000000e+00 3.685478858519595158e-36 2.977802836496329930e-01 0.000000000000000000e+00 9.999999999999998890e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.370957717039190317e-36 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.137017775942882938e-05 5.700667374353907656e-03 4.836093254665478682e-06 2.974755278729299124e-01 0.000000000000000000e+00 9.999999997862073498e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.812340365807908258e-06 -2.075017192118808901e-10 0.000000000000000000e+00 -2.075017192118808901e-10 1.976570809667662893e-13 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.859845945865968193e-06 5.700667374090391884e-03 0.000000000000000000e+00 0.000000000000000000e+00
5.684907886405188293e-05 2.850242942539998880e-02 1.206483191934813937e-04 2.962718249673562121e-01 0.000000000000000000e+00 9.999999739890428341e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.702068037795842080e-04 -2.600000388669794062e-08 0.000000000000000000e+00 -2.600000388669794062e-08 1.226253934021450901e-10 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.108971198198523302e-05 2.850242924016875914e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.591698193881274919e-04 7.980299126064700765e-02 9.415002635591160005e-04 2.936376513418095802e-01 0.000000000000000000e+00 9.999994255115182140e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.332727123892425963e-03 -5.738150493670845703e-07 0.000000000000000000e+00 -5.738150493670845703e-07 7.413167252552352949e-09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.502659900585536723e-04 7.980297981882719660e-02 0.000000000000000000e+00 0.000000000000000000e+00
3.410564671805226835e-04 1.709955214777642007e-01 4.288545683731916081e-03 2.892312503896913856e-01 0.000000000000000000e+00 9.999942975268873990e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.106706929506328617e-03 -5.698570664304537408e-06 0.000000000000000000e+00 -5.698570664304537408e-06 1.517572019358627895e-07 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.470232680755567959e-03 1.709952785160243904e-01 0.000000000000000000e+00 0.000000000000000000e+00
6.252204245906778368e-04 3.134668385714681205e-01 1.424109298878279035e-02 2.830173708148868150e-01 0.000000000000000000e+00 9.999643876741871606e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.046328960042876136e-02 -3.560035393153442821e-05 0.000000000000000000e+00 -3.560035393153442821e-05 1.637288221796063081e-06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.017259088915007839e-03 3.134640643037451269e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.034356813211845033e-03 5.185955983518105716e-01 3.834850053097078881e-02 2.752752317984872854e-01 0.000000000000000000e+00 9.998357825396431142e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.580082342109363852e-02 -1.641855545092399990e-04 0.000000000000000000e+00 -1.641855545092399990e-04 1.148854802096127007e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.088468909282696975e-02 5.185745003065568293e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.591140861214257029e-03 7.977504826609802535e-01 8.888136485642859907e-02 2.664714779822803803e-01 0.000000000000000000e+00 9.993894437532079289e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.314417633987542133e-01 -6.104802199126257035e-04 0.000000000000000000e+00 -6.104802199126257035e-04 5.890645929651460024e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.626205985480649763e-02 7.976301630823365851e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.306854116087108785e-03 1.156587722304212029e+00 1.822091173595447033e-01 2.570996603306300865e-01 0.000000000000000000e+00 9.981010875244071823e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.746865866287734881e-01 -1.898752908140793980e-03 0.000000000000000000e+00 -1.898752908140793980e-03 2.327890922453463001e-04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.949885899807057121e-02 1.156045866259443056e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.181382648813179791e-03 1.595050196676603971e+00 3.365369753221768012e-01 2.471881314525032902e-01 0.000000000000000000e+00 9.949495042117652011e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.181116977893880371e-01 -5.050192673021810380e-03 0.000000000000000000e+00 -5.050192673021810380e-03 7.367313507956807159e-04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.542255215041699046e-01 1.593058210497710014e+00 0.000000000000000000e+00 0.000000000000000000e+00
